actorId,name,isFemale,categoryType,voiceAge,languageName,countryName,audioSampleLink
135,Duarte,False,Premium,Middle Aged,Portuguese (Portugal),Portugal,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/f39a584d-841b-4ad6-a5e3-a82d375c9103.mp3
136,Fernanda,True,Premium,Middle Aged,Portuguese (Portugal),Portugal,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/61400058-2e13-40c1-ba76-834e9ca36611.mp3
137,Raquel,True,Premium,Middle Aged,Portuguese (Portugal),Portugal,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/efebcb9b-d78e-40d2-9f04-89517285153c.mp3
138,Alina,True,Premium,Middle Aged,Romanian (Romania),Romania,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/14bea674-4aed-45a9-a600-9b7f932ac884.mp3
139,Emil,False,Premium,Middle Aged,Romanian (Romania),Romania,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/a51ba6ef-8c47-474e-bc58-609d301a5a49.mp3
140,Svetlana,True,Premium,Middle Aged,Russian (Russia),Russia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Svetlana.mp3
141,Dariya,True,,,Russian (Russia),Russia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/fee438f9-e5ff-4d43-812f-0ea52667ec0d.mp3
142,Dmitry,False,,,Russian (Russia),Russia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/371e2fd6-783d-474f-a003-80aef97230e9.mp3
143,Lukas,False,Premium,Middle Aged,Slovak (Slovakia),Slovakia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/8643d09d-2e70-4f5c-b3d0-0c1dbd2b63bc.mp3
144,Viktoria,True,Premium,Middle Aged,Slovak (Slovakia),Slovakia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/fffa8251-cb07-47e4-bbf1-8f310a805546.mp3
